Weight	Nested	Procedure	PairType	Fan	Length	Word1	Word2	Word1_Imag	Word2_Imag	Word1_Freq	Word2_Freq	CorrResp	ProbeCode
1			NewFoil	1	Short	BEAN	BLIND	538	485	5	47	z	10
1			NewFoil	1	Short	SWAMP	SMOKE	600	615	5	41	z	10
1			NewFoil	1	Short	DIRT	LOCK	547	532	43	23	z	10
1			NewFoil	1	Short	SPOON	BASS	584	544	6	16	z	10
1			NewFoil	1	Short	DOLL	MOTOR	565	521	10	56	z	10
1			NewFoil	1	Short	BROOM	GATE	608	545	2	37	z	10
1			NewFoil	1	Short	SCAR	WOLF	565	610	10	6	z	10
1			NewFoil	1	Short	ROPE	HERB	596	502	15	7	z	10
1			NewFoil	1	Short	JOKE	CARGO	483	497	22	7	z	10
1			NewFoil	1	Short	COACH	WAIST	560	530	24	11	z	10
1			NewFoil	1	Short	BELT	PLUG	494	583	29	23	z	10
1			NewFoil	1	Short	STICK	MEDAL	517	529	39	7	z	10
1			NewFoil	1	Short	CRIME	SODA	471	544	34	3	z	10
1			NewFoil	1	Short	PIPE	WIRE	598	564	20	42	z	10
1			NewFoil	1	Short	CAGE	WOOL	585	586	9	10	z	10
1			NewFoil	1	Short	CROW	NAIL	578	588	2	6	z	10
1			NewFoil	1	Short	TRUNK	VEIL	529	516	8	8	z	10
1			NewFoil	1	Short	CHAIN	STEM	559	533	50	29	z	10
1			NewFoil	1	Short	FRAME	CURB	508	556	74	13	z	10
1			NewFoil	1	Short	CHALK	CLOUD	601	595	3	28	z	10
1			NewFoil	1	Short	SOCK	GERM	553	442	4	3	z	10
1			NewFoil	1	Short	CAPE	CORAL	566	561	20	5	z	10
1			NewFoil	1	Short	BRAKE	APRON	511	565	2	7	z	10
1			NewFoil	1	Short	CABLE	LODGE	469	464	7	19	z	10
1			NewFoil	1	Short	ATOM	TIGER	499	606	37	7	z	10
1			NewFoil	1	Short	HOBBY	ZERO	494	483	4	24	z	10
1			NewFoil	1	Short	SILK	HORN	510	566	12	31	z	10
1			NewFoil	1	Short	BOSS	SPARK	554	539	20	12	z	10
1			NewFoil	1	Short	BOWL	METAL	579	541	23	61	z	10
1			NewFoil	1	Short	COIN	SIGN	603	534	10	94	z	10
1			NewFoil	1	Short	PURSE	EXIT	567	512	14	7	z	10
1			NewFoil	1	Short	IRON	BEAR	561	572	43	57	z	10
1			NewFoil	1	Short	JUICE	GUEST	593	497	11	39	z	10
1			NewFoil	1	Short	CROOK	HOOK	526	541	3	5	z	10
1			NewFoil	1	Short	JUDGE	GRAPH	558	535	77	17	z	10
1			NewFoil	1	Short	ACRE	SOAP	464	600	9	22	z	10
1			NewFoil	1	Short	SALT	ARRAY	570	365	46	11	z	10
1			NewFoil	1	Short	BADGE	CREAM	519	557	5	20	z	10
1			NewFoil	1	Short	DENT	THIEF	486	529	2	8	z	10
1			NewFoil	1	Short	HOSE	GOLD	572	594	9	52	z	10
1			NewFoil	1	Short	MAZE	ECHO	555	556	6	10	z	10
1			NewFoil	1	Short	ITEM	STOVE	369	592	54	15	z	10
1			NewFoil	1	Short	WIND	DESK	535	574	63	65	z	10
1			NewFoil	1	Short	CROSS	TOOL	501	538	55	40	z	10
1			NewFoil	1	Short	STORE	CROWN	506	602	74	19	z	10
1			NewFoil	1	Short	TIRE	DECK	511	539	22	23	z	10
1			NewFoil	1	Short	EVENT	CLOWN	334	589	81	3	z	10
1			NewFoil	1	Short	STEEL	BARN	534	589	45	29	z	10
1			NewFoil	1	Short	ALGAE	DAIRY	424	537	7	19	z	10
1			NewFoil	1	Short	PILL	VASE	580	563	15	4	z	10
1			NewFoil	1	Short	VENOM	BERRY	456	551	2	9	z	10
1			NewFoil	1	Short	MOON	SHIRT	585	612	60	27	z	10
1			NewFoil	1	Short	COMET	HOLE	521	527	2	58	z	10
1			NewFoil	1	Short	QUILL	BUYER	530	463	9	2	z	10
1			NewFoil	1	Short	SUIT	BATON	536	516	48	10	z	10
1			NewFoil	1	Short	CLAM	CREW	541	486	3	36	z	10
1			NewFoil	1	Short	FILE	CIGAR	442	619	81	10	z	10
